,Model Names,Pearson Corr,Standard Deviation,RMSE,Spatial Corr,Annual Mean Bias,Austral Summer (DJF) Mean Bias
20,ACCESS-CM2,0.9096352003182795,11.03895155607096,5.821966667555583,0.9045457815896359,-3.1606118075548406,0.20901228818449033
18,ACCESS-ESM1-5,0.8866108630525952,8.966619016545248,4.997489503215672,0.88062690298822,-2.7328423792086256,-2.3786005648082913
9,AWI-CM-1-1-MR,0.908055061802099,8.040879365308854,4.003412638394759,0.9029279408108315,-1.8660379073785829,-2.0999117950656245
4,CAMS-CSM1-0,0.8217750540130736,10.688024908581914,9.279220984335007,0.8201781194843859,7.009018964175161,10.15511691865333
1,CAS-ESM2-0,0.8683446597017311,9.972526521454187,7.879714917004886,0.863509224169176,6.139710980962809,8.421503851050804
28,CESM2-WACCM,-0.459872320164928,10.801419236603232,16.739177408326604,-0.45799735721135204,-3.2501174683795,0.5665459843706021
11,CMCC-CM2-SR5,0.7883847073403857,15.241965831717756,10.204011461473613,0.7866247873267793,-1.6586195586475188,8.866947020235182
12,CMCC-ESM2,0.7884971617769182,15.31302881182452,10.289337267386928,0.78672871046318,-1.8127313510490883,8.773250733367012
26,CanESM5,0.7292326364114463,8.653537978422982,7.3394016926326735,0.7252993677056909,-3.80751435711241,-3.299720134104152
0,E3SM-1-1,0.8018401910979811,11.739775508143913,7.39151773021909,0.7988704985549729,-2.0732671959915074,3.333190881601738
29,E3SM-1-1-ECA,0.8113778533498364,12.104292082782564,7.397046312956691,0.8085307012830383,-1.6003862277580727,4.46815646366801
3,E3SM-Project,0.8072262570707969,11.642522225427232,7.229500058285934,0.804198131586265,-1.9853338184697134,3.3365543702701577
14,EC-Earth3,0.8966986774699476,6.356691648806006,5.398238525370282,0.8887892045516502,3.793064148706027,1.0604415150712854
22,EC-Earth3-Veg,0.8886239961172769,6.1512256889760355,5.691980725947969,0.8800661462757291,4.022239553510535,1.097065768585587
23,EC-Earth3-Veg-LR,0.9066038548268158,7.730883858403052,4.411015647005624,0.9015524158174467,2.656917149719061,1.9588492701991578
32,ERA5,0.9999999999999998,8.358585985546076,0.0,1.0,,
8,FGOALS-f3-L,-0.3350813812982508,10.133699759583108,15.213432622109165,-0.3270244812807966,1.4459240342241704,4.646973786123267
17,FGOALS-g3,0.7857370444083546,9.878879994594616,7.589160666903875,0.7816766639602042,-4.448659644602882,-1.8304111430741132
21,GFDL-ESM4,0.7765752634988161,7.943024577251691,5.482664241991513,0.7732047187574316,-0.4503138741159114,-0.7813704061518147
15,IITM-ESM,0.9179520627611876,8.777608138993381,7.739579896839174,0.9108082654374035,6.909705693420231,7.638058872876072
6,INM-CM4-8,0.7437932540200477,10.382202994312324,9.133342057832124,0.7391823646124343,-5.896535155958398,-2.801186069409092
7,INM-CM5-0,0.7341316230819052,10.624727431643807,9.480575481350792,0.7298441626377947,-6.108723178851048,-2.66739607621488
13,IPSL-CM6A-LR,0.9046968165441732,9.35886405661183,5.129872880731541,0.8999057257344355,-3.189025626658547,-1.9658130297038845
2,KIOST-ESM,0.810697193437554,7.96506124255473,5.385548481016594,0.8074388038529681,1.9366412242921127,1.592340300857742
27,MIROC6,0.9127177504366387,9.508495123751814,5.179860032261217,0.9048453752290149,3.4404108546312004,6.121872003077463
5,MPI-ESM1-2-HR,0.8945172058466987,6.989098030375256,5.317729723357282,0.881457792144292,3.765272078735919,2.0802521916459926
30,MPI-ESM1-2-LR,0.8830298691086065,7.507791951935493,3.9267688256401923,0.8686293193698394,-0.11924325327672271,-1.1679855158827306
25,MRI-ESM2-0,0.9150810344325853,9.53892402581342,3.954804908442859,0.9113860926516174,-0.8258844504813125,1.4466233521761747
31,Model Mean,0.8336810748171077,6.98610639116372,4.6199655717291,0.8317840722294715,0.20454428110556244,1.949438431450848
24,NESM3,0.8787179958974511,7.277794151676597,4.196779266782107,0.8631053613420645,1.303803091387316,-0.47182612436463184
19,NorESM2-LM,-0.47908469850551033,9.990340606349937,16.54202858895908,-0.4751498804976955,-4.869172797679054,-2.43375057961667
16,NorESM2-MM,-0.4557299886111525,8.947590000543663,14.777244291595286,-0.4504329686752689,-0.5241013772421024,0.5939849007263326
10,TaiESM1,-0.4781592355036667,11.42362212716168,17.993730088415738,-0.4752213400572498,-5.650775936300314,-0.6355373734748422
